5,"dr. goldberg offers everything i look for in a general practitioner.  he's nice and easy to talk to without being patronizing; he's always on time in seeing his patients; he's affiliated with a top-notch hospital (nyu) which my parents have explained to me is very important in case something happens and you need surgery; and you can get referrals to see specialists without having to see him first.  really, what more do you need?  i'm sitting here trying to think of any complaints i have about him, but i'm really drawing a blank."
2,unfortunately frustration  goldberg patient repeat experience many doctors nyc  good doctor terrible staff see staff simply never answers phone usually takes  hours repeated calling get answer time wants deal it run problem many doctors not get it office workers patients medical needs not anyone answering phone incomprehensible not work aggravation regret feel give  goldberg  stars
4,going  goldberg  years think one st patients started mhmg great years really big picture him not former gyn  markoff found fibroids explores options patient understanding not judge asks right questions thorough wants kept loop every aspect medical health life
4,got letter mail last week said  goldberg moving arizona take new position june missed much  ni think finding new doctor nyc actually like might almost awful trying find date
1,not know  goldberg like moving arizona let tell you stay away doctor office going  johnson left goldberg took johnson left not caring doctor interested copay come medication refills every month not give refills could less patients financial situations trying get  days mail away pharmacy prescriptions guy joke make matters even worse office staff incompetent  time call office put voice mail no one ever answers returns call adult children husband decided leave practice experiencing frustration entire office attitude like favor give break stay away doc practice deserve better not really need them never felt compelled write bad review anyone met pathetic excuse doctor money
5,top notch doctor top notch practice ca not say surprised referred another doctor think wonderful went one best medical schools country nit really easy get appointment minimal wait seen bedside manner great
5, eric goldberg fantastic doctor correctly diagnosed every issue wife had unlike many past doctors  goldberg accessible able schedule appointments staff quickly happy neighborhood look forward patients many years come
1,im writing review give heads see doctor office staff administration unprofessional left message multiple people regarding bill no one ever called back hound get answer bill  nsecond important make sure insurance going cover  goldberg visits blood work recommended get physical knew student told him got physical done later found health insurance not pay preventative visits received ᐅm1ᐊ bill blood work cannot pay bill im student not cash flow current time cannot believe doctor would not give heads make sure insurance would cover work not necessary strictly preventative office cannot anything help cover bill addition office staff said onus make sure insurance covers visits frustrating situation
2,wing sauce like water pretty much lot butter hot sauce franks red hot maybe whole wings good size crispy ᐅm2ᐊ wing sauce could better hot extra hot flavorheat fish sandwich good large portion sides decent
3,decent range somewhat close city mats pretty solid however grass range needs tended too like hitting us open type roughnot amenable practicing kind defeats purpose going golf rangestill gets  stars range lit night excellent us addicted amazing game somewhat short time having job kind sucks sometimes no
1,owning driving range inside city limits like license print money not think ask much driving range decent mats clean balls accessible hours hell need even less people advent machine doles balls place none them april no grass tees yet btw opened season week although golfing weather month mats look like carpet  year old aunt irene house worn thread bare let talk hours place equipped lights yet sell buckets balls  still light out finally lets pit hit into arrived not sure driving range excavation site mastodon strip mining operation no grass range mud makes good tool figure far actually hitting ball oh cash also nbottom line place sucks best hope owner sells someone actually wants make money service golfers pittsburgh
1,place absolute garbage half tees not available including grass tees cash only sell last bucket  despite lights finish even minute  not plan getting drink vending machines sold of course sell drinks inside close drawers  dot weeds grown place noticed sort batting cage looks like order well someone buy place turn be
4,drove yesterday get sneak peak reply opens cannot wait take kids new range looks amazing entire range appears turf may many not help game looks really nice tee boxes look state art club house looks like something see newer course ca not wait experience it
2,waiting almost  minutes trade old phone part buy back program customer service represent incorrectly processed transaction led us waiting another  minutes correct it not visit store want pleasant good service
5,place delicious parents saw recommendation visit place rick sebak  things like pittsburgh usually pretty accurate recommendations try reuben fish sandwich openfaced steak sandwich went early afternoon late lunch today a saturday seated right away staff extremely friendly mom  fish sandwich dad  brother reuben sandwich fish good reuben die for dishes massive could easily shared two people top extremely large portions incredibly affordable giant fish sandwich ᐅm3ᐊ giant reuben ᐅm4ᐊ drinks always filled checked several times meal definitely back oh bit advice ahead time  take cash only come prepared im pretty sure saw atm well believe closed sundays  mondays
5,ca not  stop best fish sandwich pittsburgh
5,place lot reviews  im glad not not need get busier nits ages looks it ambiance not bother pretend movie set pittsburgh  years ago works pretty well service sometimes hit  girls good one slow one amazing friendly usually different people check make sure happy everything made fresh prepared nothing comes flying kitchen  busy times take good get food  nthe food awesome worth little complaints might think gets there table forget all  fish sandwiich salmon huge delicious flounder shrimp ways norfolk style oily taste never growing norfolk hawkins st special prime rib sized two watch it nthe prices low portions large everything menu delicious im not one pick place give lot food like good value not want compromise taste place gem
5,old schooltraditional mom  pop quality perfection best fish chips ever enjoy equally superb fried shrimp great way noncorporate vestige americana love it
5,good fish sandwich
